Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2021-02-16,30746.66015625,30793.48046875,30497.400390625,30675.8203125,3269700000.0
2021-02-17,31084.939453125,31168.30078125,30503.4609375,30636.369140625,3144000000.0
2021-02-18,30595.26953125,31183.359375,30570.55078125,31183.359375,3687600000.0
2021-02-19,30644.73046875,30720.150390625,30099.7109375,30483.4609375,3317200000.0
2021-02-22,30319.830078125,31071.609375,30298.580078125,31071.609375,4449900000.0
2021-02-23,30632.640625,30948.470703125,30126.400390625,30189.970703125,4605700000.0
2021-02-24,29718.240234375,30792.880859375,29532.6796875,30702.650390625,4846300000.0
2021-02-25,30074.169921875,30453.119140625,29833.05078125,30174.220703125,3663900000.0
2021-02-26,28980.2109375,29579.669921875,28980.2109375,29412.130859375,4126400000.0
2021-03-01,29452.5703125,29550.75,29195.970703125,29457.890625,2629100000.0
2021-03-02,29095.859375,29765.9609375,28957.310546875,29708.390625,2895800000.0
2021-03-03,29880.419921875,29912.0,29183.58984375,29249.4296875,3228600000.0
2021-03-04,29236.7890625,29597.16015625,29102.099609375,29525.48046875,2957900000.0
2021-03-05,29098.2890625,29397.26953125,28513.130859375,28667.140625,3996700000.0
2021-03-08,28540.830078125,29386.330078125,28422.26953125,29362.58984375,4906900000.0
2021-03-09,28773.23046875,29047.130859375,28326.130859375,28665.259765625,4377900000.0
2021-03-10,28907.51953125,29255.369140625,28710.91015625,29255.369140625,2842800000.0
2021-03-11,29385.609375,29412.419921875,28893.2109375,28909.98046875,3604300000.0
2021-03-12,28739.720703125,29550.369140625,28707.349609375,29550.369140625,3557200000.0
2021-03-15,28833.759765625,29178.990234375,28612.740234375,28923.94921875,3096700000.0
2021-03-16,29027.689453125,29118.619140625,28872.400390625,29036.8203125,2351600000.0
2021-03-17,29034.119140625,29180.009765625,28780.23046875,28992.240234375,1901300000.0
2021-03-18,29405.720703125,29596.580078125,29317.609375,29317.609375,2113700000.0
2021-03-19,28990.939453125,29271.400390625,28737.5390625,29158.48046875,3814400000.0
2021-03-22,28885.33984375,29139.0703125,28801.08984375,28801.08984375,2065800000.0
2021-03-23,28497.380859375,29043.1796875,28376.220703125,29008.01953125,2049600000.0
2021-03-24,27918.140625,28457.869140625,27827.05078125,28437.490234375,2689100000.0
2021-03-25,27899.609375,28032.009765625,27505.080078125,27628.080078125,2595000000.0
2021-03-26,28336.4296875,28415.150390625,28014.2890625,28043.650390625,2415400000.0
2021-03-29,28338.30078125,28484.66015625,28132.359375,28317.3203125,2847700000.0
2021-03-30,28577.5,28694.150390625,28371.23046875,28552.76953125,2269800000.0
2021-03-31,28378.349609375,28802.529296875,28332.779296875,28802.529296875,2703800000.0
2021-04-01,28938.740234375,28938.740234375,28511.650390625,28594.55078125,2233000000.0
2021-04-02,28938.740234375,28938.740234375,28511.650390625,28594.55078125,2233000000.0
2021-04-05,28938.740234375,28938.740234375,28511.650390625,28594.55078125,2233000000.0
2021-04-06,28938.740234375,28938.740234375,28511.650390625,28594.55078125,2233000000.0
2021-04-07,28674.80078125,29101.400390625,28598.859375,29101.400390625,2223600000.0
2021-04-08,29008.0703125,29054.8203125,28587.109375,28604.119140625,2522300000.0
2021-04-09,28698.80078125,29152.439453125,28604.55078125,29152.439453125,1897300000.0
2021-04-12,28453.279296875,28791.970703125,28274.26953125,28791.970703125,1992300000.0
2021-04-13,28497.25,28877.150390625,28452.119140625,28557.83984375,2062100000.0
2021-04-14,28900.830078125,28979.349609375,28685.060546875,28796.55078125,1941500000.0
2021-04-15,28793.140625,28884.5703125,28530.990234375,28872.8203125,1901900000.0
2021-04-16,28969.7109375,29079.1796875,28711.109375,28827.169921875,2192400000.0
2021-04-19,29106.150390625,29319.759765625,28806.759765625,28960.130859375,2020100000.0
2021-04-20,29135.73046875,29220.189453125,28885.55078125,28962.80078125,2014200000.0
2021-04-21,28621.919921875,28778.359375,28506.759765625,28702.26953125,2202000000.0
2021-04-22,28755.33984375,28848.01953125,28597.0,28716.98046875,1934900000.0
2021-04-23,29078.75,29078.75,28748.5703125,28798.44921875,1901000000.0
2021-04-26,28952.830078125,29238.990234375,28908.650390625,29106.44921875,1786400000.0
2021-04-27,28941.5390625,29045.109375,28793.220703125,28895.380859375,1834900000.0
2021-04-28,29071.33984375,29071.33984375,28887.330078125,28991.939453125,2074100000.0
2021-04-29,29303.259765625,29405.119140625,29162.869140625,29268.2109375,1838100000.0
2021-04-30,28724.880859375,29154.75,28701.689453125,29143.4296875,2577600000.0
2021-05-03,28357.5390625,28684.830078125,28256.029296875,28659.91015625,1726000000.0
2021-05-04,28557.140625,28577.51953125,28321.33984375,28438.150390625,1921100000.0
2021-05-05,28417.98046875,28677.359375,28325.9609375,28427.669921875,1720800000.0
2021-05-06,28637.4609375,28753.970703125,28384.119140625,28647.970703125,2478800000.0
2021-05-07,28610.650390625,28884.029296875,28530.7109375,28721.130859375,2205300000.0
2021-05-10,28595.66015625,28842.109375,28453.140625,28776.990234375,2358800000.0
2021-05-11,28013.810546875,28286.560546875,27910.7109375,28286.560546875,2383400000.0
2021-05-12,28231.0390625,28231.0390625,27897.470703125,28073.919921875,2132300000.0
2021-05-13,27718.669921875,28060.9296875,27718.669921875,27920.009765625,2167400000.0
2021-05-14,28027.5703125,28064.009765625,27715.880859375,27872.689453125,1880800000.0
2021-05-17,28194.08984375,28268.390625,28074.140625,28130.509765625,1857000000.0
2021-05-18,28593.810546875,28617.33984375,28438.029296875,28438.029296875,2066000000.0
2021-05-19,28593.810546875,28617.33984375,28438.029296875,28438.029296875,2066000000.0
2021-05-20,28450.2890625,28508.240234375,28293.23046875,28413.490234375,2465800000.0
2021-05-21,28458.439453125,28584.33984375,28286.919921875,28584.33984375,1653200000.0
2021-05-24,28412.259765625,28444.359375,28195.51953125,28417.990234375,1719600000.0
2021-05-25,28910.859375,28929.240234375,28461.5,28461.5,2352100000.0
2021-05-26,29166.009765625,29261.859375,29027.94921875,29056.279296875,2518500000.0
2021-05-27,29113.19921875,29157.94921875,28950.720703125,28998.390625,3805000000.0
2021-05-28,29124.41015625,29336.130859375,29033.720703125,29219.4609375,2591600000.0
2021-05-31,29151.80078125,29225.4609375,28909.51953125,29225.4609375,2188600000.0
2021-06-01,29468.0,29480.16015625,29036.44921875,29159.060546875,1832000000.0
2021-06-02,29297.619140625,29490.609375,29208.73046875,29414.640625,1933200000.0
2021-06-03,28966.029296875,29377.900390625,28902.669921875,29365.3203125,2241800000.0
2021-06-04,28918.099609375,29023.1796875,28737.970703125,28837.94921875,3054600000.0
2021-06-07,28787.279296875,29003.990234375,28615.609375,28985.599609375,2573200000.0
2021-06-08,28781.380859375,28979.19921875,28638.310546875,28900.51953125,1626900000.0
2021-06-09,28742.630859375,28859.580078125,28687.689453125,28771.140625,1807000000.0
2021-06-10,28738.880859375,28954.400390625,28664.939453125,28792.01953125,1940100000.0
2021-06-11,28842.130859375,28965.150390625,28743.8203125,28864.900390625,2038600000.0
2021-06-14,28842.130859375,28965.150390625,28743.8203125,28864.900390625,2038600000.0
2021-06-15,28638.529296875,28946.439453125,28453.48046875,28946.439453125,2376500000.0
2021-06-16,28436.83984375,28648.640625,28403.640625,28609.369140625,2053800000.0
2021-06-17,28558.58984375,28558.58984375,28216.08984375,28240.880859375,1888000000.0
2021-06-18,28801.26953125,28830.849609375,28532.080078125,28586.0390625,3761400000.0
2021-06-21,28489.0,28590.220703125,28314.9296875,28501.640625,2182700000.0
2021-06-22,28309.759765625,28579.0,28299.66015625,28575.16015625,1980100000.0
2021-06-23,28817.0703125,28893.7890625,28406.609375,28468.240234375,2293400000.0
2021-06-24,28882.4609375,28993.369140625,28782.33984375,28865.4609375,1723200000.0
2021-06-25,29288.220703125,29305.169921875,28971.599609375,29002.669921875,2149400000.0
2021-06-28,29268.30078125,29394.689453125,29209.4296875,29366.490234375,1512600000.0
2021-06-29,28994.099609375,29291.890625,28924.609375,29291.890625,2356500000.0
2021-06-30,28827.94921875,29146.279296875,28827.69921875,29107.900390625,2051500000.0
2021-07-01,28827.94921875,29146.279296875,28827.69921875,29107.900390625,2051500000.0
2021-07-02,28310.419921875,28859.01953125,28231.73046875,28859.01953125,2816200000.0
2021-07-05,28143.5,28338.7890625,28042.7109375,28098.91015625,1827200000.0
2021-07-06,28072.859375,28151.349609375,27904.529296875,28136.630859375,1904200000.0
2021-07-07,27960.619140625,27969.41015625,27703.41015625,27777.810546875,2040700000.0
2021-07-08,27153.130859375,27921.060546875,27110.619140625,27881.5,2948600000.0
2021-07-09,27344.5390625,27450.7890625,26861.869140625,27131.5703125,2500000000.0
2021-07-12,27515.240234375,27741.189453125,27420.349609375,27672.69921875,2054200000.0
2021-07-13,27963.41015625,28052.3203125,27612.689453125,27694.029296875,1995600000.0
2021-07-14,27787.4609375,27965.390625,27708.7109375,27965.390625,1865700000.0
2021-07-15,27996.26953125,28181.2109375,27741.08984375,27801.400390625,2081500000.0
2021-07-16,28004.6796875,28218.529296875,27878.529296875,27972.560546875,1968800000.0
2021-07-19,27489.779296875,27786.5390625,27397.2890625,27786.5390625,1874200000.0
2021-07-20,27259.25,27532.859375,27121.490234375,27395.830078125,2263400000.0
2021-07-21,27224.580078125,27371.5,26971.029296875,27339.220703125,1672500000.0
2021-07-22,27723.83984375,27759.7109375,27455.4296875,27464.279296875,1807200000.0
2021-07-23,27321.98046875,27740.94921875,27222.0390625,27740.94921875,1182700000.0
2021-07-26,26192.3203125,26878.75,26177.400390625,26825.73046875,2695200000.0
2021-07-27,25086.4296875,26323.609375,24748.83984375,26011.509765625,4657400000.0
2021-07-28,25473.880859375,25520.75,24848.4296875,25356.740234375,3391800000.0
2021-07-29,26315.3203125,26335.359375,25857.419921875,26221.359375,3272200000.0
2021-07-30,25961.029296875,26151.0,25636.890625,26042.83984375,2425100000.0
2021-08-02,26235.80078125,26300.55078125,25743.08984375,26054.810546875,1768600000.0
2021-08-03,26194.8203125,26289.060546875,25774.619140625,26289.060546875,2010000000.0
2021-08-04,26426.55078125,26650.8203125,26009.830078125,26161.830078125,1776500000.0
2021-08-05,26204.689453125,26569.369140625,26126.369140625,26390.009765625,1695600000.0
2021-08-06,26179.400390625,26276.869140625,26002.41015625,26262.970703125,1559600000.0
2021-08-09,26283.400390625,26527.240234375,25920.849609375,25969.23046875,1585100000.0
2021-08-10,26605.619140625,26610.94921875,26138.869140625,26456.609375,1735300000.0
2021-08-11,26660.16015625,26822.470703125,26454.44921875,26491.740234375,2414400000.0
2021-08-12,26517.8203125,26713.240234375,26385.44921875,26623.76953125,1655000000.0
2021-08-13,26391.619140625,26521.94921875,26200.240234375,26296.189453125,1336200000.0
2021-08-16,26181.4609375,26449.7109375,26046.900390625,26365.189453125,1648300000.0
2021-08-17,25745.869140625,26258.7890625,25615.380859375,26137.900390625,2291300000.0
2021-08-18,25867.009765625,26025.140625,25708.94921875,25800.029296875,1756900000.0
2021-08-19,25316.330078125,25832.919921875,25183.669921875,25787.83984375,2312900000.0
2021-08-20,24849.720703125,25244.75,24581.599609375,25241.3203125,2855800000.0
2021-08-23,25109.58984375,25458.330078125,25036.990234375,25169.44921875,2185000000.0
2021-08-24,25727.919921875,25727.919921875,25361.75,25428.6796875,2052900000.0
2021-08-25,25693.94921875,25982.640625,25548.470703125,25930.05078125,1716400000.0
2021-08-26,25415.689453125,25706.619140625,25255.830078125,25673.779296875,1834100000.0
2021-08-27,25407.890625,25641.330078125,25304.619140625,25337.55078125,1528000000.0
2021-08-30,25539.5390625,25583.58984375,25219.80078125,25406.490234375,1995600000.0
2021-08-31,25878.990234375,25878.990234375,25110.720703125,25524.23046875,2918100000.0
2021-09-01,26028.2890625,26101.94921875,25694.109375,25871.8203125,2181300000.0
2021-09-02,26090.4296875,26359.310546875,25967.98046875,26203.51953125,2024300000.0
2021-09-03,25901.990234375,26052.810546875,25811.76953125,26022.669921875,2549400000.0
2021-09-06,26163.630859375,26176.4296875,25827.169921875,25827.169921875,1912500000.0
2021-09-07,26353.630859375,26458.880859375,26135.400390625,26207.220703125,1842200000.0
2021-09-08,26320.9296875,26560.0390625,26164.7890625,26396.109375,1861300000.0
2021-09-09,25716.0,26125.08984375,25624.51953125,26076.9296875,2090800000.0
2021-09-10,26205.91015625,26205.91015625,25870.7109375,25870.7109375,2001300000.0
2021-09-13,25813.810546875,25886.900390625,25570.83984375,25885.30078125,2315600000.0
2021-09-14,25502.23046875,25900.6796875,25377.830078125,25827.69921875,2399000000.0
2021-09-15,25033.2109375,25411.91015625,24990.939453125,25310.029296875,2420900000.0
2021-09-16,24667.849609375,25045.55078125,24505.2109375,25042.029296875,2499800000.0
2021-09-17,24920.759765625,24920.759765625,24424.740234375,24589.169921875,3102300000.0
2021-09-20,24099.140625,24640.4296875,23871.83984375,24640.4296875,2651600000.0
2021-09-21,24221.5390625,24284.869140625,23771.4609375,23867.16015625,2079700000.0
2021-09-22,24221.5390625,24284.869140625,23771.4609375,23867.16015625,2079700000.0
2021-09-23,24510.98046875,24827.4609375,24313.6796875,24614.140625,2711900000.0
2021-09-24,24192.16015625,24636.640625,24095.7890625,24487.240234375,2014400000.0
2021-09-27,24208.779296875,24509.0,24131.419921875,24131.419921875,2323600000.0
2021-09-28,24500.390625,24679.4609375,24232.98046875,24323.0,2457900000.0
2021-09-29,24663.5,24694.4609375,24045.990234375,24276.7109375,2150200000.0
2021-09-30,24575.640625,24660.6796875,24346.75,24494.259765625,1580400000.0
2021-10-01,24575.640625,24660.6796875,24346.75,24494.259765625,1580400000.0
2021-10-04,24036.369140625,24478.6796875,23908.05078125,24478.6796875,1596300000.0
2021-10-05,24104.150390625,24180.080078125,23681.439453125,23771.650390625,1717000000.0
2021-10-06,23966.490234375,24259.19921875,23812.349609375,24259.19921875,1878700000.0
2021-10-07,24701.73046875,24741.279296875,24310.109375,24339.3203125,1764600000.0
2021-10-08,24837.849609375,25064.80078125,24595.580078125,25064.80078125,2359000000.0
2021-10-11,25325.08984375,25437.16015625,25161.80078125,25161.80078125,2114300000.0
2021-10-12,24962.58984375,25188.779296875,24865.80078125,24995.94921875,1835300000.0
2021-10-13,24962.58984375,25188.779296875,24865.80078125,24995.94921875,1835300000.0
2021-10-14,24962.58984375,25188.779296875,24865.80078125,24995.94921875,1835300000.0
2021-10-15,25330.9609375,25330.9609375,24929.560546875,25187.05078125,2345200000.0
2021-10-18,25409.75,25425.3203125,25123.25,25425.3203125,1648000000.0
2021-10-19,25787.2109375,25808.619140625,25458.029296875,25471.25,1671200000.0
2021-10-20,26136.01953125,26214.630859375,25915.619140625,26074.19921875,1823600000.0
2021-10-21,26017.529296875,26229.80078125,25840.58984375,26141.849609375,2085100000.0
2021-10-22,26126.9296875,26195.2890625,25976.029296875,26114.83984375,1699600000.0
2021-10-25,26132.029296875,26212.900390625,25929.669921875,26020.779296875,1455200000.0
2021-10-26,26038.26953125,26234.939453125,25905.080078125,26234.939453125,1533500000.0
2021-10-27,25628.740234375,25795.169921875,25555.169921875,25795.169921875,1620800000.0
2021-10-28,25555.73046875,25736.380859375,25473.16015625,25648.419921875,2021100000.0
2021-10-29,25377.240234375,25516.220703125,25314.240234375,25466.859375,2051300000.0
2021-11-01,25154.3203125,25270.41015625,24972.5,25268.349609375,1586700000.0
2021-11-02,25099.669921875,25639.66015625,25030.689453125,25609.009765625,1964600000.0
2021-11-03,25024.75,25187.08984375,24808.58984375,25060.9296875,1690500000.0
2021-11-04,25225.189453125,25244.98046875,25010.359375,25141.099609375,1639500000.0
2021-11-05,24870.509765625,25049.369140625,24724.390625,24950.6796875,2020700000.0
2021-11-08,24763.76953125,24837.76953125,24633.5703125,24743.5390625,1762600000.0
2021-11-09,24813.130859375,24956.369140625,24678.66015625,24952.8203125,1154700000.0
2021-11-10,24996.140625,25013.109375,24481.259765625,24787.439453125,1688100000.0
2021-11-11,25247.990234375,25324.66015625,24836.2109375,24856.109375,2001900000.0
2021-11-12,25327.970703125,25527.130859375,25210.560546875,25522.830078125,1632100000.0
2021-11-15,25390.91015625,25483.259765625,25230.330078125,25437.990234375,1155800000.0
2021-11-16,25713.779296875,25746.7109375,25410.869140625,25446.650390625,1528800000.0
2021-11-17,25650.080078125,25667.810546875,25520.669921875,25667.810546875,1193800000.0
2021-11-18,25319.720703125,25414.2109375,25222.599609375,25369.880859375,1342900000.0
2021-11-19,25049.970703125,25077.150390625,24825.4296875,24934.400390625,1640400000.0
2021-11-22,24951.33984375,25099.94921875,24869.939453125,25057.060546875,1510400000.0
2021-11-23,24651.580078125,24794.720703125,24618.740234375,24688.990234375,1486300000.0
2021-11-24,24685.5,24851.529296875,24557.630859375,24672.099609375,1791000000.0
